"GEOID","HighSewer","MedSewer","LowSewer"
"'010730123041","YES","YES","YES"
"'010730100024","YES","YES","YES"
"'010730034002","YES","YES","YES"
"'010730034004","YES","YES","YES"
"'010730036002","YES","YES","YES"
"'010730031005","YES","YES","YES"
"'010730031004","YES","YES","YES"
"'010730014003","YES","YES","YES"
"'010730008004","YES","YES","YES"
"'010730007003","YES","YES","YES"
"'010730109004","YES","YES","YES"
"'010730119013","YES","YES","YES"
"'010730141052","YES","YES","YES"
"'010730133001","YES","YES","YES"
"'010730102003","YES","YES","YES"
"'010730103012","YES","YES","YES"
"'010730038033","YES","YES","YES"
"'010730038032","YES","YES","YES"
"'010730040005","YES","YES","YES"
"'010730105002","YES","YES","YES"
"'010730134004","YES","YES","YES"
"'010730136011","YES","YES","YES"
"'010730057022","YES","YES","YES"
"'010730104014","YES","YES","YES"
"'010730118043","YES","YES","YES"
"'010730019023","YES","YES","YES"
"'010730126021","YES","YES","YES"
"'010730003002","YES","YES","YES"
"'010730019022","YES","YES","YES"
"'010730047021","YES","YES","YES"
"'010730108012","YES","YES","YES"
"'010730107051","YES","YES","YES"
"'010730021003","YES","YES","YES"
"'010730021001","YES","YES","YES"
"'010950312002","YES","NO","NO"
"'010950308013","YES","YES","YES"
"'010970033012","YES","YES","YES"
"'010730049022","YES","YES","YES"
"'010719503022","YES","YES","YES"
"'010719502001","NO","NO","NO"
"'010439648003","YES","YES","YES"
"'010199560004","NO","NO","NO"
"'010550007001","YES","YES","YES"
"'010539707004","YES","YES","YES"
"'010730058001","YES","YES","YES"
"'011150402111","YES","YES","YES"
"'010950309032","YES","YES","YES"
"'010730008001","YES","YES","YES"
"'011010017001","YES","YES","YES"
"'011130303003","YES","YES","YES"
"'010970041001","YES","YES","YES"
"'011030002002","YES","YES","YES"
"'011030010002","YES","YES","YES"
"'011030004001","YES","YES","YES"
"'011030007002","YES","YES","YES"
"'011030009001","YES","YES","YES"
"'011030053032","YES","YES","YES"
"'011190115005","YES","NO","NO"
"'011270207001","NO","NO","NO"
"'011270209002","NO","NO","NO"
"'011250128001","YES","YES","YES"
"'011250128002","YES","YES","YES"
"'011250127001","YES","YES","YES"
"'011250104043","YES","YES","YES"
"'011250117011","YES","YES","YES"
"'011250102041","YES","YES","YES"
"'011250108042","YES","YES","YES"
"'010799796002","NO","NO","NO"
"'010799791001","NO","NO","NO"
"'010830205001","YES","YES","YES"
"'010539706002","YES","YES","YES"
"'010730040002","YES","YES","YES"
"'010150021012","YES","YES","YES"
"'011010015002","YES","YES","YES"
"'010970025012","YES","YES","YES"
"'011010054122","YES","YES","YES"
"'011010014003","YES","YES","YES"
"'011010029011","YES","YES","YES"
"'010890110212","YES","YES","YES"
"'010550110012","NO","NO","NO"
"'011250101052","NO","NO","NO"
"'010970004021","YES","YES","YES"
"'010730132001","YES","YES","YES"
"'010730126022","YES","YES","YES"
"'010690414001","NO","NO","NO"
"'010970068032","YES","YES","YES"
"'010730128052","YES","YES","YES"
"'011250106044","NO","NO","NO"
"'010730129162","YES","YES","YES"
"'010030107111","YES","YES","YES"
"'010730038021","YES","YES","YES"
"'010690411002","YES","YES","YES"
"'010730101003","YES","YES","YES"
"'010330203002","YES","YES","YES"
"'011010056094","YES","YES","YES"
"'010890029242","YES","YES","YES"
"'010890106252","YES","YES","YES"
"'011170303313","YES","YES","YES"
"'010730110043","YES","YES","YES"
"'011170302211","YES","YES","YES"
"'010830207001","YES","YES","YES"
"'010010205031","YES","YES","YES"
"'010970025011","YES","YES","YES"
"'010730031001","YES","YES","YES"
"'010210601041","NO","NO","NO"
"'010890108013","YES","YES","YES"
"'010730032002","YES","YES","YES"
"'010539707003","YES","YES","YES"
"'010399620003","YES","YES","YES"
"'010970029001","YES","YES","YES"
"'011010033014","YES","YES","YES"
"'010770103002","YES","YES","YES"
"'011010011001","YES","YES","YES"
"'010550004002","YES","YES","NO"
"'010970029003","YES","YES","YES"
"'010730144042","YES","YES","YES"
"'010970049002","YES","YES","YES"
"'010730047011","YES","YES","YES"
"'010150010002","YES","YES","NO"
"'011030009003","YES","YES","YES"
"'010010205032","YES","YES","YES"
"'010890023001","YES","YES","YES"
"'010970014001","YES","YES","YES"
"'011010002001","YES","YES","YES"
"'010730129111","YES","YES","YES"
"'010550105052","NO","NO","NO"
"'011250124041","YES","YES","YES"
"'010919729022","YES","YES","YES"
"'011056871003","NO","NO","NO"
"'011150402112","YES","NO","NO"
"'010970070004","NO","NO","NO"
"'010550112002","YES","YES","YES"
"'010970035011","YES","YES","YES"
"'010690402052","YES","YES","YES"
"'011010025002","YES","YES","YES"
"'010890112021","YES","YES","YES"
"'011210116003","NO","NO","NO"
"'010399620004","YES","YES","YES"
"'010150014003","YES","YES","NO"
"'010890031003","YES","YES","YES"
"'011150401042","YES","YES","YES"
"'011270203011","YES","YES","YES"
"'010550010001","YES","YES","YES"
"'010810404014","YES","YES","YES"
"'010010207001","YES","YES","YES"
"'010499607031","YES","YES","NO"
"'011010033042","YES","YES","YES"
"'011010054022","YES","YES","YES"
"'011250121012","YES","YES","YES"
"'011250120021","YES","YES","YES"
"'010070100061","NO","NO","NO"
"'010570204003","NO","NO","NO"
"'010730059102","YES","YES","YES"
"'010810405012","YES","YES","YES"
"'010730047014","YES","YES","YES"
"'010730049012","YES","YES","YES"
"'010890104062","NO","NO","NO"
"'011030001005","YES","YES","YES"
"'010479566003","YES","YES","YES"
"'010950308011","YES","YES","YES"
"'011130312001","NO","NO","NO"
"'011250118001","YES","YES","YES"
"'011091889003","YES","YES","YES"
"'010310113003","YES","YES","YES"
"'011010005003","YES","YES","YES"
"'010890022001","YES","YES","YES"
"'010890103042","NO","NO","NO"
"'010890106292","YES","YES","YES"
"'010810409042","YES","YES","YES"
"'010730112103","YES","YES","YES"
"'010730111153","YES","YES","YES"
"'011170307015","YES","YES","YES"
"'010810406062","YES","YES","YES"
"'010810408021","YES","YES","YES"
"'010890106291","YES","YES","YES"
"'010890110133","YES","YES","YES"
"'010550102012","YES","YES","YES"
"'010770115024","NO","NO","NO"
"'010970032053","YES","YES","YES"
"'010970065032","YES","NO","NO"
"'010950308014","YES","YES","NO"
"'011250127002","YES","YES","YES"
"'010890105022","NO","NO","NO"
"'010970073001","NO","NO","NO"
"'010970028004","YES","YES","YES"
"'010970040003","YES","YES","YES"
"'011170303301","YES","YES","YES"
"'010150002002","YES","YES","YES"
"'010730110031","YES","YES","YES"
"'010730016003","YES","YES","YES"
"'010730139021","YES","YES","YES"
"'010730047023","YES","YES","YES"
"'010730059053","YES","YES","YES"
"'010890027211","YES","YES","YES"
"'010650405001","NO","NO","NO"
"'011030001001","YES","YES","YES"
"'010730059091","YES","YES","YES"
"'010730048001","YES","YES","YES"
"'010479565002","YES","YES","YES"
"'010730144082","YES","YES","YES"
"'010730012003","YES","YES","YES"
"'010030112011","YES","YES","YES"
"'011010026001","YES","YES","YES"
"'011010056061","YES","YES","YES"
"'010330201004","YES","YES","YES"
"'010970067022","NO","NO","NO"
"'011250125031","NO","NO","NO"
"'010030106003","NO","NO","NO"
"'011130304041","YES","YES","YES"
"'011250125033","YES","YES","YES"
"'010690402043","YES","YES","YES"
"'010730134002","YES","YES","YES"
"'010857810001","NO","NO","NO"
"'010310113001","NO","NO","NO"
"'010810406061","YES","YES","YES"
"'010970032022","YES","YES","YES"
"'010810402013","YES","YES","YES"
"'011170303161","YES","YES","YES"
"'010770109013","YES","YES","YES"
"'010770102001","YES","YES","YES"
"'011010028001","YES","YES","YES"
"'010730127014","YES","NO","NO"
"'011210105002","YES","YES","YES"
"'010730047013","YES","YES","YES"
"'010150023003","NO","NO","NO"
"'010479573012","YES","YES","NO"
"'011010029012","YES","YES","YES"
"'010010208051","NO","NO","NO"
"'010030114131","YES","NO","NO"
"'010539698011","NO","NO","NO"
"'010650404022","NO","NO","NO"
"'010810405021","YES","YES","YES"
"'010730142081","YES","YES","YES"
"'010810409031","YES","YES","YES"
"'010730058004","YES","YES","YES"
"'011250121021","YES","YES","YES"
"'010890025013","YES","YES","YES"
"'010890014042","YES","YES","YES"
"'010179548001","YES","YES","YES"
"'010970064133","YES","YES","YES"
"'010970036073","YES","YES","YES"
"'010970068043","NO","NO","NO"
"'010970011002","YES","YES","YES"
"'011091893002","NO","NO","NO"
"'010139532002","YES","NO","NO"
"'010330207043","YES","YES","YES"
"'011250124042","YES","YES","YES"
"'010330204001","YES","YES","NO"
"'011130309061","YES","YES","YES"
"'010730129051","YES","YES","YES"
"'011010028003","YES","YES","YES"
"'010690415001","NO","NO","NO"
"'011010007002","YES","YES","YES"
"'011010004004","YES","YES","YES"
"'010970075001","YES","YES","YES"
"'010450205001","NO","NO","NO"
"'010730035001","YES","NO","NO"
"'010479566004","YES","YES","YES"
"'010730129132","YES","YES","YES"
"'011170307013","YES","YES","YES"
"'010919733002","NO","NO","NO"
"'010810404013","YES","YES","YES"
"'010970056012","YES","YES","YES"
"'011010016002","YES","YES","YES"
"'010730108014","YES","YES","YES"
