"GEOID","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'011170302122",0,0,0,0,0,0,0.85
"'011170303402",0,0,0,0,0,0,2.322
"'011150401041",0,0,0,0,0,0,2.76
"'010830202023",575,17.765,575,17.765,575,17.765,32.368
"'010030109043",1025,21.436,1025,21.436,1025,21.436,47.817
"'010872320002",0,0,372,99.952,372,99.952,3.722
"'011250119013",0,0,0,0,0,0,0.34
"'011250114013",0,0,0,0,0,0,0.312
"'011030051082",0,0,0,0,0,0,1.659
"'011030051092",0,0,0,0,0,0,1.33
"'011030051063",0,0,0,0,0,0,6.362
"'011170303192",0,0,0,0,0,0,1.488
"'010979900000",0,0,0,0,0,0,5.658
"'010939646002",356,17.138,356,17.138,356,17.138,20.773
"'010890006022",0,0,0,0,0,0,0.853
"'010890009022",0,0,0,0,0,0,0.692
"'010890012002",0,0,0,0,0,0,0.718
"'010890015001",0,0,0,0,0,0,1.197
"'010890024002",0,0,0,0,0,0,1.042
"'010890023002",0,0,0,0,0,0,0.616
"'010890026001",0,0,0,0,0,0,1.423
"'010890029112",0,0,0,0,0,0,1.06
"'010890029221",0,0,0,0,0,0,1.273
"'010690421004",603,7.916,603,7.916,603,7.916,76.172
"'010690415002",426,72.121,426,72.121,426,72.121,5.907
"'010690409002",0,0,0,0,0,0,2.073
"'010690414002",0,0,0,0,619,105.711,5.856
"'010690404001",0,0,0,0,0,0,1.824
"'010690405003",0,0,0,0,0,0,1.521
"'010690410002",0,0,0,0,0,0,0.954
"'010719507002",399,7.892,399,7.892,399,7.892,50.559
"'010719508003",0,0,0,0,0,0,2.505
"'010890009011",0,0,0,0,0,0,2.227
"'010890021001",0,0,0,0,0,0,1.043
"'010890021003",0,0,0,0,0,0,0.836
"'010010203001",0,0,0,0,0,0,3.904
"'010010204003",0,0,0,0,0,0,0.726
"'010059509003",0,0,0,0,0,0,1.454
"'010970073002",428,78.062,428,78.062,428,78.062,5.483
"'010970036081",0,0,0,0,0,0,1.927
"'010970052001",0,0,0,0,0,0,1.109
"'010970004012",0,0,0,0,0,0,0.486
"'010970007012",0,0,0,0,0,0,0.506
"'010970009022",0,0,0,0,0,0,0.631
"'010970009031",0,0,0,0,0,0,0.744
"'010970013021",0,0,0,0,0,0,1.062
"'010970015012",0,0,0,0,0,0,0.614
"'010970020001",0,0,0,0,0,0,1.172
"'010970023022",0,0,0,0,0,0,0.968
"'010970026001",0,0,0,0,0,0,0.176
"'010970028002",0,0,0,0,0,0,0.357
"'010970031001",0,0,0,0,0,0,2.012
"'010970034081",0,0,0,0,0,0,4.254
"'010970049004",0,0,0,0,0,0,1.557
"'010970040001",0,0,0,0,0,0,0.564
"'010970064031",0,0,0,0,0,0,1.335
"'010970032051",0,0,0,0,0,0,0.797
"'010730121042",0,0,0,0,0,0,1.815
"'010730123041",0,0,0,0,0,0,1.224
"'010730100024",0,0,0,0,0,0,0.709
"'010730034002",0,0,0,0,0,0,0.669
"'010730034004",0,0,0,0,0,0,0.32
"'010730036002",0,0,0,0,0,0,0.354
"'010730031005",0,0,0,0,0,0,0.511
"'010730031004",0,0,0,0,0,0,0.356
"'010730014003",0,0,0,0,0,0,0.722
"'010730008004",0,0,0,0,0,0,2.074
